segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29140498.504,-482.28,0.92,-401.9,0.924,1527.21,0.929,1607.59,0.93,3215.18,0.878,3215.18,0.868
29140698.504,0.0,0.94,-80.38,0.942,2170.24,0.923,2250.62,0.923,3215.18,0.852,3215.18,0.839
29140898.504,321.52,0.95,321.52,0.949,2893.66,0.914,2974.04,0.914,3215.18,0.806,3215.18,0.787
29141098.504,401.9,0.949,482.28,0.945,3215.18,0.91,3215.18,0.905,3215.18,0.736,3215.18,0.702
29141298.504,964.55,0.94,884.17,0.934,3215.18,0.896,3215.18,0.881,nan,0.627,nan,0.583
29141498.504,1366.45,0.925,1446.83,0.921,3215.18,0.861,3215.18,0.841,nan,0.452,nan,0.387
29141698.504,1929.11,0.906,1929.11,0.907,3215.18,0.797,3215.18,0.778,nan,0.174,nan,0.184
29141898.504,2491.76,0.892,2572.14,0.898,3215.18,0.702,3215.18,0.68,nan,0.204,nan,0.234
29142098.504,3215.18,0.899,3215.18,0.907,nan,0.574,nan,0.55,nan,0.325,nan,0.357
29142298.504,3215.18,0.915,3215.18,0.921,nan,0.456,nan,0.469,nan,0.449,nan,0.407
29142498.504,3215.18,0.929,3215.18,0.932,nan,0.394,nan,0.406,nan,0.521,nan,0.363
29142698.504,3215.18,0.934,3215.18,0.933,nan,0.431,nan,0.439,nan,0.582,nan,0.432
29142898.504,3215.18,0.902,3215.18,0.895,nan,0.547,nan,0.542,nan,0.599,nan,0.529
29143098.504,3215.18,0.844,3215.18,0.827,nan,0.639,nan,0.609,nan,0.584,nan,0.547
29143298.504,3215.18,0.768,3215.18,0.737,-160.76,0.676,nan,0.641,nan,0.575,nan,0.64
29143498.504,3215.18,0.653,-3215.18,0.668,-401.9,0.712,-884.17,0.692,nan,0.536,401.9,0.661
29143698.504,-3215.18,0.753,-3215.18,0.784,-884.17,0.749,-562.66,0.744,nan,0.559,-2411.38,0.709
29143898.504,-3215.18,0.853,-3215.18,0.879,-884.17,0.779,-884.17,0.781,241.14,0.668,401.9,0.77
29144098.504,-3215.18,0.907,-3215.18,0.921,-3215.18,0.828,-884.17,0.812,241.14,0.734,321.52,0.815
29144298.504,-3215.18,0.933,-3215.18,0.934,-3215.18,0.857,-1687.97,0.828,241.14,0.867,401.9,0.881
29144498.504,-3215.18,0.932,-3215.18,0.928,-3215.18,0.862,-3215.18,0.84,241.14,0.874,401.9,0.897
29144698.504,-3215.18,0.916,-3134.8,0.908,-3215.18,0.854,-3215.18,0.829,241.14,0.86,401.9,0.871
29144898.504,-2411.38,0.9,-2411.38,0.895,-3215.18,0.84,-3215.18,0.803,241.14,0.82,401.9,0.861
29145098.504,-1687.97,0.895,-1607.59,0.894,-3215.18,0.831,-3215.18,0.782,241.14,0.803,401.9,0.829
29145298.504,-964.55,0.894,-884.17,0.899,-3215.18,0.831,-3215.18,0.768,241.14,0.756,562.66,0.748
29145498.504,-562.66,0.885,-241.14,0.893,-3215.18,0.842,-3215.18,0.776,241.14,0.695,nan,0.648
29145698.504,-160.76,0.871,321.52,0.879,-3215.18,0.859,-3215.18,0.8,nan,0.509,nan,0.473
29145898.504,0.0,0.849,401.9,0.858,-3215.18,0.877,-3215.18,0.828,nan,0.311,nan,0.293
29146098.504,321.52,0.828,643.04,0.835,-3215.18,0.887,-3215.18,0.852,nan,0.207,nan,0.191
29146298.504,562.66,0.804,884.17,0.812,-3215.18,0.892,-3215.18,0.876,nan,0.296,nan,0.279
29146498.504,723.41,0.781,1286.07,0.787,-3215.18,0.901,-3215.18,0.899,nan,0.55,nan,0.527
29146698.504,1044.93,0.751,1768.35,0.754,-3215.18,0.91,-3215.18,0.913,-3215.18,0.685,-3215.18,0.668
29146898.504,1848.73,0.717,2089.86,0.717,-3215.18,0.915,-3215.18,0.923,-3215.18,0.757,-2974.04,0.746
29147098.504,-3215.18,0.71,-3215.18,0.691,-3215.18,0.921,-3215.18,0.931,-3215.18,0.803,-3215.18,0.789
