segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29140498.504,3215.18,0.698,3215.18,0.705,nan,0.461,nan,0.503,-1286.07,0.797,-1125.31,0.799
29140698.504,nan,0.533,nan,0.533,nan,0.555,nan,0.577,-1205.69,0.864,-1205.69,0.862
29140898.504,nan,0.541,nan,0.485,nan,0.637,nan,0.642,-1125.31,0.916,-884.17,0.911
29141098.504,nan,0.52,nan,0.457,-723.41,0.699,-562.66,0.697,-482.28,0.947,-241.14,0.938
29141298.504,nan,0.458,nan,0.403,-803.79,0.753,-482.28,0.759,321.52,0.96,401.9,0.951
29141498.504,nan,0.403,nan,0.404,-803.79,0.816,-482.28,0.823,803.79,0.953,1125.31,0.943
29141698.504,nan,0.442,nan,0.496,-643.04,0.88,-482.28,0.881,1366.45,0.935,1527.21,0.925
29141898.504,nan,0.584,-2009.48,0.663,-160.76,0.927,-160.76,0.926,1929.11,0.911,2250.62,0.898
29142098.504,-1446.83,0.726,-1687.97,0.77,80.38,0.957,241.14,0.955,2652.52,0.893,2491.76,0.879
29142298.504,-964.55,0.817,-1125.31,0.847,321.52,0.978,401.9,0.97,3054.42,0.868,3215.18,0.848
29142498.504,-643.04,0.88,-562.66,0.902,401.9,0.982,562.66,0.967,2974.04,0.843,2893.66,0.813
29142698.504,-80.38,0.928,-321.52,0.94,803.79,0.961,964.55,0.947,3215.18,0.807,2732.9,0.769
29142898.504,321.52,0.954,80.38,0.966,1205.69,0.926,1205.69,0.91,3134.8,0.768,2411.38,0.734
29143098.504,241.14,0.971,241.14,0.977,1607.59,0.884,1527.21,0.865,2974.04,0.726,2893.66,0.664
29143298.504,321.52,0.978,321.52,0.981,2089.86,0.836,2250.62,0.808,nan,0.591,nan,0.525
29143498.504,401.9,0.976,562.66,0.975,2331.0,0.779,2009.48,0.757,nan,0.401,nan,0.404
29143698.504,803.79,0.961,803.79,0.956,2652.52,0.725,2009.48,0.703,nan,0.503,nan,0.516
29143898.504,1366.45,0.929,1366.45,0.922,nan,0.64,nan,0.629,nan,0.607,nan,0.622
29144098.504,1768.35,0.88,2009.48,0.87,nan,0.514,nan,0.475,241.14,0.661,321.52,0.678
29144298.504,2089.86,0.834,2170.24,0.822,nan,0.269,nan,0.339,241.14,0.671,321.52,0.676
29144498.504,2572.14,0.795,2652.52,0.8,nan,0.275,nan,0.361,nan,0.637,nan,0.629
29144698.504,3215.18,0.77,3215.18,0.788,nan,0.326,nan,0.365,241.14,0.655,321.52,0.654
29144898.504,3215.18,0.657,3215.18,0.671,nan,0.451,nan,0.347,160.76,0.718,321.52,0.701
29145098.504,nan,0.384,nan,0.408,nan,0.629,nan,0.53,241.14,0.686,401.9,0.705
29145298.504,nan,0.393,nan,0.426,-3215.18,0.746,-3215.18,0.676,nan,0.637,321.52,0.673
29145498.504,nan,0.598,-3215.18,0.657,-3215.18,0.837,-3215.18,0.785,nan,0.603,401.9,0.653
29145698.504,-3215.18,0.749,-3215.18,0.791,-3215.18,0.883,-3215.18,0.832,-2250.62,0.672,-1848.73,0.702
29145898.504,-3215.18,0.832,-3215.18,0.859,-3215.18,0.905,-3215.18,0.853,-1527.21,0.747,-1527.21,0.777
29146098.504,-3215.18,0.895,-3215.18,0.912,-3215.18,0.922,-3215.18,0.876,-803.79,0.807,-803.79,0.829
29146298.504,-3215.18,0.939,-3215.18,0.948,-3215.18,0.926,-3215.18,0.883,0.0,0.87,321.52,0.888
